type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
TV Show;American Horror Story;null;"""Evan Peters, Sarah Paulson, Jessica Lange, Denis O'Hare, Kathy Bates, Angela Bassett, Lily Rabe, Frances Conroy, Cheyenne Jackson, Emma Roberts, Taissa Farmiga, Wes Bentley, Finn Wittrock, Chloë Sevigny, Zachary Quinto, Jamie Brewer, Naomi Grossman, Dylan McDermott, Gabourey Sidibe, Lady Gaga, Mare Winningham, Joseph Fiennes, Michael Chiklis, Matt Bomer, Lizzie Brocheré, Erika Ervin, Mat Fraser, Rose Siggins, Connie Britton, James Cromwell, Adina Porter, Jyoti Amge, Billie Lourde, Alison Pill, Billy Eichner, Leslie Grossman, Colton Haynes, Cuba Gooding Jr., André Holland, Danny Huston""";United States;"""November 13, 2020""";2019;TV-MA;9 Seasons;"""TV Horror, TV Mysteries, TV Thrillers""";"""This twisted Emmy-winning drama plays upon the power of supernatural fears and everyday horrors, exploring humankind's unsettling capacity for evil."""
Movie;U-Turn;Derick Cabrido;"""Kim Chiu, JM de Guzman, Tony Labrusca, Martin del Rosario, Kate Alejandrino, Miel Espinoza, Janella Salvador, Cris Villanueva, Almira Muhlach, Cris Villonco, Mercedes Cabral, Jerry O'Hara, Simon Ibarra, Alex Medina, Markus Paterson""";Philippines;"""December 1, 2020""";2020;TV-MA;99 min;"""Horror Movies, International Movies""";A young reporter's investigation into a string of grisly suicides takes a dangerous detour when she follows the clues to a cursed stretch of road.
Movie;Underworld;Len Wiseman;"""Kate Beckinsale, Scott Speedman, Michael Sheen, Shane Brolly, Bill Nighy, Erwin Leder, Sophia Myles, Robbie Gee, Wentworth Miller, Kevin Grevioux""";"""United States, United Kingdom, Germany, Hungary""";"""July 1, 2021""";2003;R;121 min;"""Action & Adventure, Horror Movies, Sci-Fi & Fantasy""";A vampire warrior begins to question her mission in the ancient war between the undead and werewolves when she falls for a human under her protection.
Movie;Until Midnight;Tariq Alkazim;"""Ahmad Khamis Ali, Chuka Ekweogwu, Heba Al Hamwi, Rik Aby, Merouane Ali, Khalid Al Suwaidi, Saeed Arjumand""";United Arab Emirates;"""June 10, 2021""";2019;TV-14;77 min;"""International Movies, Thrillers""";"""After returning home from a work trip, a newlywed must fight off a masked intruder before his wife returns at midnight."""
Movie;Untold: Breaking Point;"""Chapman Way, Maclain Way""";null;United States;"""September 7, 2021""";2021;TV-MA;80 min;"""Documentaries, Sports Movies""";"""Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."""
TV Show;The Liberator;null;"""Bradley James, Martin Sensmeier, Jose Miguel Vasquez, Forrest Goodluck, Bryan Hibbard, Matt Mercurio, Harrison Stone, Billy Breed, Tatanka Means, Kiowa Gordon""";United States;"""November 11, 2020""";2020;TV-MA;1 Season;"""TV Action & Adventure, TV Dramas""";"""A diverse, deeply brave crew of ragtag soldiers become some of the most heroic fighters of the European invasion in World War II. Based on true events."""
TV Show;Trial 4;null;null;United States;"""November 11, 2020""";2020;TV-MA;1 Season;"""Crime TV Shows, Docuseries""";"""Charged as a teen in the 1993 killing of a Boston cop, Sean K. Ellis fights to prove his innocence while exposing police corruption and systemic racism."""
TV Show;Bakugan: Battle Planet;null;"""Jonah Wineberg, Deven Christian Mack, Margarita Valderrama, Ticoon Kim, Jason Deline, Will Bowes""";"""Japan, Canada, United States""";"""November 6, 2020""";2018;TV-PG;1 Season;"""Anime Series, Kids' TV""";Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.
Movie;Untold: Malice at the Palace;Floyd Russ;null;United States;"""August 10, 2021""";2021;TV-MA;70 min;"""Documentaries, Sports Movies""";"""Key figures from an infamous 2004 incident between players and fans at an NBA game in Michigan discuss the fight, its fallout and its lasting legacy."""
Movie;Valentine's Day;Garry Marshall;"""Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper, Eric Dane, Patrick Dempsey, Hector Elizondo, Jamie Foxx, Jennifer Garner, Topher Grace, Anne Hathaway, Ashton Kutcher, Queen Latifah, Taylor Lautner, George Lopez, Shirley MacLaine, Emma Roberts, Julia Roberts, Taylor Swift""";United States;"""August 1, 2021""";2010;PG-13;125 min;"""Comedies, Romantic Movies""";The tripwires of modern love are exposed in a carousel involving relationships and the single life on the most romantic day of the year: February 14.
Movie;Vampire Academy;Mark Waters;"""Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne, Dominic Sherwood, Sarah Hyland, Sami Gayle""";"""United States, United Kingdom""";"""June 7, 2021""";2014;PG-13;104 min;"""Action & Adventure, Comedies, Sci-Fi & Fantasy""";"""A half-human, half-vampire teen must prepare for class and her destiny as the protector of mortal vampires against their vicious immortal counterparts."""
Movie;Walk of Shame;Steve Brill;"""Elizabeth Banks, James Marsden, Gillian Jacobs, Sarah Wright, Ethan Suplee, Bill Burr, Ken Davitian, Lawrence Gilliard Jr., Alphonso Mcauley, Da'Vone McDonald, John Marsden, Willie Garson, Oliver Hudson, P.J. Byrne""";United States;"""August 16, 2021""";2014;R;94 min;"""Comedies, Independent Movies""";"""After a night of boozy carousing, a local newscaster finds herself stranded on the streets of LA just hours before the job interview of a lifetime."""
TV Show;Dawson's Creek;null;"""James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson, Kerr Smith, Meredith Monroe, Busy Philipps, Mary Beth Peil""";United States;"""November 1, 2020""";2002;TV-14;6 Seasons;"""Romantic TV Shows, TV Dramas, Teen TV Shows""";"""This nighttime soap about a group of close-knit teens frankly depicts the issues of adolescence that obsess young adults, including sex, sex and sex."""
TV Show;LEGO: CITY Adventures;null;"""Joe Zieja, Misty Lee, Alex Cazares, Daniel MK Cohen, James Arnold Taylor, Roger Craig Smith, Mick Lauer""";"""United States, France, Denmark""";"""November 1, 2020""";2019;TV-Y;1 Season;"""Kids' TV, TV Comedies""";"""In a boomtown built on fun, friendship and wacky mischief, a quirky crew of cops and firefighters work hard to preserve the peace and awesomeness."""
Movie;What Dreams May Come;Vincent Ward;"""Robin Williams, Cuba Gooding Jr., Annabella Sciorra, Max von Sydow, Jessica Brooks Grant, Josh Paddock, Rosalind Chao, Lucinda Jenney, Maggie McCarthy, Wilma Bonet, Matt Salinger, Carin Sprague, June Carryl, Paul P. Card IV, Werner Herzog""";"""United States, New Zealand""";"""July 1, 2021""";1998;PG-13;114 min;"""Dramas, Romantic Movies, Sci-Fi & Fantasy""";"""A physician finds himself in heaven after an accident, inhabiting the landscape of his wife's paintings while seeking to rescue her from the underworld."""
TV Show;The Garfield Show;null;"""Frank Welker, Wally Wingert, Gregg Berger""";"""France, United States""";"""November 1, 2020""";2018;TV-Y;4 Seasons;"""Kids' TV, TV Comedies""";"""Lazy, lasagna-loving fat cat Garfield lives life on his own terms, which includes teasing his geeky owner, Jon, and tormenting dimwitted dog Odie."""
Movie;What Lies Below;Braden R. Duemmler;"""Ema Horvath, Trey Tucker, Mena Suvari, Haskiri Velazquez, Danny Corbo, Olan Montgomery, Troy Iwata""";United States;"""April 4, 2021""";2020;TV-MA;88 min;"""Horror Movies, Thrillers""";"""Back home at her lake house, a teenager begins to suspect that a sinister force lurks beneath the surface of her mother's too-perfect new lover."""
Movie;What's Eating Gilbert Grape;Lasse Hallström;"""Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen, Darlene Cates, Laura Harrington, Mary Kate Schellhardt, Kevin Tighe, John C. Reilly, Crispin Glover""";United States;"""January 1, 2021""";1993;PG-13;118 min;"""Classic Movies, Dramas, Independent Movies""";"""In a backwater Iowa town, young Gilbert is torn between taking care of his troubled family and a girl who shows him new possibilities for his life."""
Movie;White Christmas;Michael Curtiz;"""Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, Dean Jagger, Mary Wickes, John Brascia, Anne Whitfield, George Chakiris""";United States;"""November 15, 2020""";1954;TV-G;120 min;"""Children & Family Movies, Classic Movies, Comedies""";"""Two war buddies fall for two sisters and follow the girls to a resort owned by their former commanding officer, who is in danger of losing the place."""
TV Show;Marvel's Agents of S.H.I.E.L.D.;null;"""Clark Gregg, Ming-Na Wen, Brett Dalton, Chloe Bennet, Iain De Caestecker, Elizabeth Henstridge, Adrianne Palicki, Luke Mitchell, Henry Simmons""";United States;"""October 30, 2020""";2020;TV-14;7 Seasons;"""TV Action & Adventure, TV Sci-Fi & Fantasy""";"""Agent Phil Coulson, seen in action in Marvel's The Avengers, assembles a team of top S.H.I.E.L.D. agents to investigate bizarre threats."""
Movie;Who Am I;Baran bo Odar;"""Tom Schilling, Elyas M'Barek, Wotan Wilke Möhring, Antoine Monot Jr., Hannah Herzsprung, Stephan Kampwirth, Trine Dyrholm, Leopold Hornung, Leonard Carow""";Germany;"""February 26, 2021""";2014;TV-MA;102 min;"""International Movies, Thrillers""";"""After his compatriots are murdered by Russian gangsters, a hacker confesses the history of his elite, fame-seeking group to a Europol investigator."""
TV Show;Somebody Feed Phil;null;Philip Rosenthal;United States;"""October 30, 2020""";2020;TV-14;4 Seasons;"""Docuseries, Reality TV""";"""\""Everybody Loves Raymond\"" creator Phil Rosenthal travels the globe to take in the local cuisine and culture of Bangkok, Lisbon, Mexico City and more."""
Movie;Winchester;"""Michael Spierig, Peter Spierig""";"""Helen Mirren, Jason Clarke, Sarah Snook, Angus Sampson, Finn Scicluna-O'Prey, Laura Brent, Tyler Coppin, Eamon Farren, Bruce Spence""";"""Australia, United States""";"""July 2, 2021""";2018;PG-13;100 min;"""Horror Movies, Sci-Fi & Fantasy""";The heiress to a vast firearms fortune constructs a mansion with a maze-like interior to ward off the spirits of those killed by her family's product.
Movie;Wish Dragon;Chris Appelhans;"""Jimmy Wong, John Cho, Constance Wu, Will Yun Lee, Bobby Lee, Jimmy O. Yang, Ian Chen""";"""China, United States, Canada""";"""June 11, 2021""";2021;PG;102 min;"""Children & Family Movies, Comedies""";Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.
Movie;Woody Woodpecker;Alex Zamm;"""Timothy Omundson, Thaila Ayala, Eric Bauza, Graham Verchere, Jordana Largy, Scott McNeil, Adrian Glynn McMorran, Chelsea Miller, Sean Tyson""";United States;"""April 2, 2021""";2017;PG;91 min;"""Children & Family Movies, Comedies""";A rascally bird with a distinctive laugh pecks back with a vengeance when his forest habitat is threatened by a slick lawyer building his dream home.
Movie;Yes Man;Peyton Reed;"""Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins, Rhys Darby, Danny Masterson, Fionnula Flanagan, Terence Stamp, Sasha Alexander, Molly Sims""";"""United States, United Kingdom""";"""April 1, 2021""";2008;PG-13;104 min;"""Comedies, Romantic Movies""";"""After a bitter divorce, a loan officer falls under the sway of a self-help guru who urges him to say yes to everything that comes his way for a year."""
Movie;Zathura;Jon Favreau;"""Jonah Bobo, Josh Hutcherson, Dax Shepard, Kristen Stewart, Tim Robbins, Frank Oz, John Alexander, Derek Mears, Douglas Tait, Joe Bucaro III""";United States;"""February 1, 2021""";2005;PG;101 min;"""Children & Family Movies, Sci-Fi & Fantasy""";"""A mysterious game sends two brothers flying into space, where they must reach the planet Zathura — or be trapped in galactic limbo forever."""
